Gene	Flowers	IL	ML	Stem	Root
CRO_T104844	20.67	10.38	11.98	9.1	19.39
CRO_T104845	0.24	0.25	0.28	0	0
CRO_T104846	42.67	21.42	17.06	18.5	26.14
CRO_T104847	0.34	0.07	0.16	0.58	0.16
CRO_T104848	3.58	1.4	1.76	0.94	0.5
CRO_T104849	0.68	0	3.4	0.83	1.24
CRO_T104850	0.42	1.5	0.84	3.62	0.71
CRO_T104851	0.83	0.78	0.96	0.16	1.64
CRO_T104852	0	0	0.16	0.14	0
CRO_T104854	0.41	0.38	0	0.46	0
CRO_T104856	2.63	2.1	1.28	7.41	17.12
CRO_T104857	0.3	1.73	0.9	2.73	5.47
CRO_T104858	17.37	1.92	1.86	3	3.3
CRO_T104859	42.74	44.64	35.77	42.2	41.38
CRO_T104861	3.73	35.56	3.63	3.12	2.57
CRO_T104862	0.31	0.19	0.3	0.14	0.14
CRO_T104863	84.74	40.15	52.46	81.57	84.52
CRO_T104864	11.58	21.34	12.34	73.05	30.04
CRO_T104865	36.82	1.26	2.67	8.95	3.34
CRO_T104867	2.45	5.47	3.99	6.24	7.64
CRO_T104868	2.7	9.29	5.05	7.71	14.4
CRO_T104869	0	0.24	1.25	0	0.46
CRO_T104871	0.03	0	0.07	0.09	0.07
CRO_T104872	0.23	0.54	0.48	0.53	0.69
CRO_T104873	0.36	0.4	0.54	0.27	0.47
CRO_T104874	2.88	2.05	1.5	3.99	5.53
CRO_T104875	0.25	0.17	0.09	0.67	0.17
CRO_T104876	11.79	37.82	17.23	13.3	22.74
CRO_T104878	0.19	0	0	0.1	0.34
CRO_T104879	0.43	0.68	0.77	0.48	1.16
CRO_T104880	0.05	0.1	0.06	0.03	0.03
CRO_T104881	10.57	2.59	4.63	124.16	8.77
CRO_T104883	0	0	0	0	0
CRO_T104884	0.15	0.05	0	0.11	0.19
CRO_T104886	10.6	9.6	8.07	7.07	4.63
CRO_T104887	0.17	0.12	0.26	0	0.06
CRO_T104888	0.23	0.19	0.16	0.22	0.26
CRO_T104889	22.85	40.45	26.16	49.46	47.79
CRO_T104890	0.44	0.45	0.93	0.25	0.25
CRO_T104891	0.71	0.38	0	0	0.45
CRO_T104893	80.18	65.68	17.17	258.07	68.66
CRO_T104895	0.74	0.24	0.81	0.57	0.32
CRO_T104896	0.26	0	0.22	0	0
CRO_T104898	10.22	1.42	2.58	3.68	9.37
CRO_T104899	0.26	0	0	0	0
CRO_T104900	0	0	0.1	0.12	0.1
CRO_T104901	33.57	38.3	37.34	63.54	57.44
CRO_T104902	35.23	35.57	31.95	69.35	41.34
CRO_T104903	0.06	0.4	0.38	0.21	0.07
CRO_T104904	0.03	0.03	0	0.07	0.03
CRO_T104905	3.48	1.52	3.15	4.87	3.12
CRO_T104906	0.26	0.18	0.2	170.06	0.1
CRO_T104907	0.09	0.34	0.31	0.49	0.22
CRO_T104908	1.11	0.09	0.3	2.86	0.82
CRO_T104909	0.77	1.16	0.32	1.66	0.5
CRO_T104910	22.25	18.9	19.38	26.31	30.77
CRO_T104911	0.42	4.59	0.77	4.39	2.47
CRO_T104912	26.97	39.92	29.41	29.11	29.77
CRO_T104914	0.16	0.11	0.22	0.06	0.13
CRO_T104915	0.24	0.24	0	0.44	0.38
CRO_T104916	0.26	0.08	0	0.38	0.41
CRO_T104917	0.21	1.09	0.65	0.18	0.5
CRO_T104919	0	0.23	0.3	0	0
CRO_T104923	3.93	2.29	4.83	2.12	6.66
CRO_T104924	3.95	2.09	4	0.37	5.33
CRO_T104925	59.36	40.99	29.94	27.83	74.22
CRO_T104926	14.86	6.39	12.33	64.54	2.11
CRO_T104927	5.24	4.64	2.56	33.63	6.36
CRO_T104928	21.55	12.57	13.12	20.33	10.63
CRO_T104930	255.3	61.59	69.6	154.46	135.69
CRO_T104931	9.8	63.66	89.83	3.25	12.66
CRO_T104933	77.98	34.6	54.94	44.42	80.24
CRO_T104934	87.38	40.71	54.13	142.66	126.44
CRO_T104935	7.28	8.14	4.63	7.57	4.25
CRO_T104936	3.61	2.22	2.46	67.28	7.05
CRO_T104937	13.2	17.46	9.43	36.38	38.58
CRO_T104938	10.81	15.7	9.9	32.3	10.94
CRO_T104939	1.26	2.37	0.7	9.47	4.16
CRO_T104940	2.74	2.49	1.32	8.6	2.97
CRO_T104941	2.26	3.62	6.72	2.72	9.27
CRO_T104942	0.85	1.23	0.75	0.38	1.08
CRO_T104943	1.57	7.97	7.47	11.15	3.44
CRO_T104944	2.88	4.35	3.21	33.51	4.97
CRO_T104945	0.11	0.32	0	0.13	0.13
CRO_T104946	46.72	19.26	15.97	30.8	30.62
CRO_T104947	6.94	7.55	5.99	10.53	7.82
CRO_T104948	15.66	14.25	9.72	26.04	17.78
CRO_T104949	13.62	37.32	42.03	40.19	21.07
CRO_T104950	23.51	28.45	26.02	27.48	35.42
CRO_T104951	1.17	1.94	1.3	2.4	2.43
CRO_T104953	41.17	13.34	20.67	30.85	19.01
CRO_T104954	1.32	0.95	0.67	3.93	1.08
CRO_T104956	29.76	39.63	27.04	21.21	28.44
CRO_T104957	53.04	64.15	48.01	94.92	90.71
CRO_T104958	109.2	39.23	34.02	65.97	71.83
CRO_T104959	22.81	16.14	18	28.17	15.7
CRO_T104960	21.1	14.11	11.8	25.55	13.27
CRO_T104961	24.76	42.26	29.77	34.53	50.48
CRO_T104962	0.45	0	0	0	0.45
CRO_T104963	0	0	0	0	0.16
CRO_T104964	79.58	90.05	74.51	100.17	86.47
CRO_T104965	166.02	28.64	23.9	33.91	135.36
CRO_T104966	1.92	1.02	0.3	25.67	10.46
CRO_T104967	28.88	123.02	187.06	4.97	20.65
CRO_T104968	3.09	3.5	2.3	4.94	2.9
CRO_T104969	0.88	0	0.32	0.46	1.41
CRO_T104970	0.15	0.15	0.1	0.09	0.09
CRO_T104971	0.18	0.1	0.29	0	0
CRO_T104972	28.17	47.96	53.81	32.32	60.72
CRO_T104973	13.04	18.36	15.29	14.24	20.95
CRO_T104974	4.06	0.43	5.8	0.35	0.74
CRO_T104975	0.63	0.16	0	0.26	0.79
CRO_T104976	0.26	0	0.09	0.58	0.26
CRO_T104977	2.87	1.67	0.96	2.73	3.66
CRO_T104978	0.22	0.07	0	0.57	0.65
CRO_T104980	1.37	0.1	0	0.11	0.4
CRO_T104981	0.21	0.57	0.22	0	0
CRO_T104982	0.18	0.41	0	0.66	0.36
CRO_T104983	0	0.13	1.02	0.59	0.63
CRO_T104984	0.31	0	0	0	0
CRO_T104985	2.56	4.3	1.83	1.98	4.99
CRO_T104986	3.46	1.88	1.03	3.19	3.84
CRO_T104987	5.55	5.99	7.8	11.1	14.23
CRO_T104988	1.75	2.57	1.13	7.6	1.8
CRO_T104989	193.47	19.67	47.87	209.18	245.32
CRO_T104990	24.17	70.55	79.29	7.53	16.75
CRO_T104991	0	3.84	2.79	0.29	4.24
CRO_T104992	3.22	0.4	0.21	7.12	0.37
CRO_T104993	15.48	0.75	0	2.95	2.94
CRO_T104994	0	0	0	0	0
CRO_T104996	0.6	0.64	0.09	0.93	4.05
CRO_T104997	0.82	8.94	3.27	7	12.49
CRO_T104998	0.94	15.57	13.15	0.23	0.96
CRO_T104999	19.24	2.36	2.54	46.48	8.07
CRO_T105000	1.95	1.29	1.28	2.79	0.79
CRO_T105001	18.05	7.85	9.17	4.18	6.78
CRO_T105002	43.01	24.81	23.16	24.83	34.58
CRO_T105003	15.15	42.02	26.89	26.69	48.73
CRO_T105004	13.85	13.7	11.79	19.35	16.03
CRO_T105005	10.73	10.91	10.19	17.07	11.67
CRO_T105006	206.73	672.74	238.7	911.26	1989.71
CRO_T105007	0.06	0	0.14	0	0.13
CRO_T105008	0.68	6.65	1.63	12	26.26
CRO_T105009	30.71	94.25	77.43	19.48	34.45
CRO_T105010	0.11	0.11	0.12	0.45	0.36
CRO_T105011	12.1	5.98	8.4	5.27	5.25
CRO_T105012	1.13	0	0.37	0.74	0.42
CRO_T105013	31.96	39.11	34.42	53.96	46.32
CRO_T105014	28.11	59.36	63.79	52.5	26.6
CRO_T105015	2.86	1.13	0.41	1.4	0.35
CRO_T105016	0.75	2.33	0.62	4.28	5.21
CRO_T105017	3.79	10.05	9.05	6.5	11.09
CRO_T105019	58.99	42.25	42.85	91.66	61.53
CRO_T105021	3.6	6.33	6.21	11.49	9.63
CRO_T105022	0.41	0.11	0	0.36	0.22
CRO_T105023	295.88	214.07	151.69	118.72	152.29
CRO_T105024	3.13	3.75	16.19	2.47	7.76
CRO_T105025	2.34	2.38	4.14	2.51	2.97
CRO_T105026	9.96	9.73	13.72	128.44	66.15
CRO_T105027	19.84	28.34	20.4	66.66	62.67
CRO_T105028	5.48	5.08	5.15	11.39	8.64
CRO_T105029	41.6	65.57	60.77	64.29	68.28
CRO_T105030	42.23	23.57	19.89	40.56	41.57
CRO_T105031	39.12	36.14	29.99	54.53	43.82
CRO_T105033	29.99	46.96	30.22	50.14	39.65
CRO_T105034	695.58	367.73	302.34	457.92	486.26
CRO_T105035	36.34	38.28	46.68	23.12	24.12
CRO_T105036	64.77	65.47	130.98	22.67	40.43
CRO_T105037	1.45	5.35	0.74	4.1	7.1
CRO_T105038	10.51	10.13	6.3	9.15	7.43
CRO_T105039	137.05	95.71	73.63	133.18	147.93
CRO_T105040	21.52	20.17	16.65	22.55	21.59
CRO_T105041	0.21	0.31	0	0.16	0.22
CRO_T105042	0.15	0.05	0.24	0	0.12
CRO_T105043	6.06	12.62	7.44	6.43	8.88
CRO_T105044	19.2	16.82	13.66	18.11	17.39
CRO_T105045	0.7	0.65	0.9	2.47	0.1
CRO_T105046	0.81	0.9	0.65	0.93	0.19
CRO_T105047	4.45	41.21	21.86	2.44	5.58
CRO_T105048	4.08	10.48	5.65	3.31	6.22
CRO_T105049	7.89	11.57	8.1	5.91	9.22
CRO_T105050	150.71	105.28	106.25	136.1	171.06
CRO_T105051	80.94	56.1	99.07	119.32	165.53
CRO_T105052	17.09	10.47	8.74	10.93	11.4
CRO_T105053	22.91	18.54	25.37	15.36	36.79
CRO_T105054	0.3	0.3	0.33	0	0
CRO_T105055	2.8	0.45	0.42	32.73	2.9
CRO_T105056	1.39	5.58	0.5	1.46	1.68
CRO_T105057	95.15	78.87	71.08	72	98.88
CRO_T105058	2948.82	1461.58	1654.17	557.31	1422.82
CRO_T105059	41.22	25.5	21.96	49.9	16.68
CRO_T105060	0.39	0.32	0.21	0.55	0
CRO_T105061	2.78	0.66	1.76	2.47	1.5
CRO_T105062	1272.38	523.44	755.88	989.98	1089.66
CRO_T105063	62.95	432.83	669.22	0.93	28.01
CRO_T105064	78.13	44.19	28.85	55.71	42.45
CRO_T105065	8.01	2.82	2.01	24.9	7.61
CRO_T105066	3.55	7.97	14.45	12.03	7.06
CRO_T105069	62.79	1.82	3.62	19.41	5.82
CRO_T105070	0.44	1.09	1.1	0.82	1.17
CRO_T105071	628.72	3.43	5.68	25.67	6.66
CRO_T105073	520.88	288.25	261.53	481.36	482.13
CRO_T105074	13.22	36.39	9.39	34.77	31.79
CRO_T105075	83.68	67.79	41.49	95.94	101.36
CRO_T105076	38.84	9.07	7.99	33.09	35.96
CRO_T105077	168.83	104.06	109.47	140.94	153.79
CRO_T105078	2.88	7.54	3.25	6.88	6.56
CRO_T105079	53.82	2.12	2.9	2.46	5.15
CRO_T105080	103.65	63.06	55.03	99.95	86.18
CRO_T105081	0.1	0.21	0.24	0.23	0.36
CRO_T105083	4.17	0.94	1.12	2.17	1.32
CRO_T105084	138.9	95.05	95.36	123.64	122.62
CRO_T105085	0.17	0.18	0	0.21	0.22
CRO_T105086	0	0	0	0.11	0
CRO_T105087	178.02	198.91	231.64	76.59	101.62
CRO_T105088	163.79	43.36	41.84	45.19	31.82
CRO_T105089	8.33	8.46	9.39	86.62	66.52
CRO_T105090	0.8	1.49	1.99	1.94	1.11
CRO_T105091	104.83	31.1	37.35	138.96	98.11
CRO_T105092	7.61	3.96	3.02	17.87	7.55
CRO_T105093	157.39	135.53	131.61	135.41	144.91
CRO_T105094	0.18	0.35	0.22	0.07	0.25
CRO_T105095	1.13	2.78	0.33	0	0
CRO_T105096	10.62	1.94	2.71	1.34	4.91
CRO_T105097	0.29	0.37	0.34	4.85	0
CRO_T105098	0.48	0.51	2.02	0.54	1
CRO_T105100	0	0	0	0	0
CRO_T105102	0	0	0	0	0
CRO_T105104	1.52	2.68	1.72	3.31	2.68
CRO_T105105	0.45	1.27	0.54	3.36	0.44
CRO_T105106	0	0	0.2	0	0.38
CRO_T105107	31.25	16.45	12.29	22.64	23.06
CRO_T105108	11.93	5.06	3.66	2.16	2.47
CRO_T105109	10.78	7.83	7.46	5.33	6.07
CRO_T105110	0.23	0	0	0	0.48
CRO_T105111	1.35	0.81	0.13	0.57	0.46
CRO_T105112	0.18	0	0.62	0	0
CRO_T105113	0.61	0.22	0.46	0	0.2
CRO_T105114	0.45	0.51	0.68	0.75	1.05
CRO_T105115	0.23	0	0.23	0.25	0
CRO_T105116	0	0.49	0.27	0.57	0.78
CRO_T105117	0.14	1.22	2.4	0.55	0.22
CRO_T105118	17.13	19.13	26.12	58.42	22.06
CRO_T105119	40.4	33.99	45.69	72.9	52.25
CRO_T105122	0.32	0.3	0.43	0.42	0.39
CRO_T105123	0	0	0	0	0.24
CRO_T105124	0.15	0.59	0.1	0.32	0.36
CRO_T105125	0.1	0.42	0.13	0	0.12
CRO_T105126	0.08	0	0.27	0.27	0.32
CRO_T105129	0.5	0.53	0.72	0.52	1.12
CRO_T105131	28.81	25.99	21	30.56	29.96
CRO_T105132	40.08	31.53	33.49	24.77	52.59
CRO_T105133	0.08	0	0.1	0	0
CRO_T105136	0.82	0.89	0.27	0.26	0.49
CRO_T105137	47.69	36.68	28.5	56.37	53.18
CRO_T105139	0.34	0	0.71	0	0
CRO_T105140	25.21	36.77	18.25	1.58	1.9
CRO_T105141	44.69	26.51	23.33	41.21	40.48
CRO_T105145	0	0.16	0.1	0	0
CRO_T105146	0	0.1	0	0	0.13
CRO_T105147	0.41	1.69	0	0	0
CRO_T105148	0	1.62	0.73	0.88	0.81
CRO_T105149	0	0.36	0.21	0.43	0.21
CRO_T105150	0.21	0.15	0.54	0.16	0.06
CRO_T105151	1.51	0.36	2.7	1.83	1.02
CRO_T105152	2.73	3.33	1.42	1.08	3.86
CRO_T105155	1.25	0.51	0.29	1.47	0.79
CRO_T105156	0.29	0	0.49	0	0
CRO_T105157	0	0.54	0.3	0	0
CRO_T105159	1.19	3.47	0.69	1.93	4.53
CRO_T105161	36.81	22.7	25.58	28.34	37.31
CRO_T105162	35.96	3.01	4.83	5.91	5.29
CRO_T105163	21.69	13.34	17.31	22.91	22.08
CRO_T105164	8.46	7.99	7.07	11.7	11.1
CRO_T105166	0.36	0.18	0.12	0.24	0.32
CRO_T105167	0.43	0.34	0.17	1.13	1.07
CRO_T105169	0.67	0.47	0	0.55	0.19
CRO_T105170	36.36	16.72	12.53	18.55	21.03
CRO_T105171	0.36	0.91	0.93	0	0
CRO_T105172	0.07	0	0.08	0.27	0
CRO_T105173	0	0	0	0.13	0
CRO_T105174	0.75	0	1.35	0.9	1.99
CRO_T105175	0	0	0.38	0	0
CRO_T105176	0	0.28	0	0.33	0.27
CRO_T105177	0.65	0.06	0.46	0.35	0.09
CRO_T105179	3.56	59.53	31.5	28.03	3.72
CRO_T105180	0.46	0.36	0.32	0.47	0.29
CRO_T105182	0	0	0	0.18	0
CRO_T105183	2.29	0.16	0.13	31.11	0.41
CRO_T105185	0.1	0.07	0.24	0.21	0.16
CRO_T105186	0.21	0.39	0	0.22	0.2
CRO_T105187	0	0.32	0.32	0	0
CRO_T105188	0.55	0	0	0.23	0
CRO_T105190	1.67	1.71	2.52	1.01	2.81
CRO_T105193	2.08	0.89	0.52	2.83	6.09
CRO_T105194	2.08	0.4	0.44	1.71	7.01
CRO_T105195	7.54	2.13	5.86	5.13	10.48
CRO_T105196	0.6	0.38	0.95	0.88	1.56
CRO_T105197	0.94	0.53	0.6	0.96	1.54
CRO_T105198	1.27	1.45	1.69	1.18	0.59
CRO_T105199	0.3	0	0	0	0
CRO_T105200	3.21	1.61	1.36	2.73	7.63
CRO_T105201	3.53	0.98	3.03	1.9	7.12
CRO_T105202	1.54	0.37	0	0.94	0.67
CRO_T105204	23.01	18.37	15.55	28.03	24.73
CRO_T105205	0.67	0.62	0.34	0.84	1.42
CRO_T105206	0.23	0.14	0.17	0.24	0.51
CRO_T105207	9.24	3.31	5.12	6.93	8.45
CRO_T105208	94.84	29.8	39.35	71.24	100.19
CRO_T105209	0.13	0.14	0.17	0.28	0
CRO_T105210	0	0	0	0	0
CRO_T105212	47.75	30.6	37.87	59.68	38.37
CRO_T105213	4.71	6.13	2.5	3.42	4.99
CRO_T105214	0.34	3.42	0.6	2.76	1.73
CRO_T105215	4.14	1.27	1.77	0	0.9
CRO_T105216	0	1.44	2.29	0.52	0.36
CRO_T105217	23.7	27.73	18.36	50.66	42.31
CRO_T105218	1.86	0.44	0.4	0.13	1
CRO_T105219	2.22	1.62	1.11	1.6	0.77
CRO_T105221	0	0	0	0.52	0.19
CRO_T105222	0.48	0.38	0.38	0.86	1.03
CRO_T105223	0.8	0.37	0.39	1.05	0.94
CRO_T105224	0.74	1.35	1.62	3	1.87
CRO_T105225	1.59	2.37	2.3	2.77	1.05
CRO_T105226	0.55	0.29	0.56	0.63	0.7
CRO_T105227	0.19	0	0.11	0.34	0.24
CRO_T105228	0.12	0.59	0.16	0.19	0.36
CRO_T105229	0.32	0.08	0.18	0	0
CRO_T105231	10.64	13.34	12.49	11.51	11.99
CRO_T105233	0.69	1.18	0.61	1.18	1.57
CRO_T105234	0	0	1.28	0.72	0.29
CRO_T105236	0.55	0.47	0.26	0.09	0.26
CRO_T105238	0.3	0.62	1.66	1.05	1.28
CRO_T105239	1.07	1.68	0.39	0	0
CRO_T105241	6.49	0.56	0.46	0.56	0.18
CRO_T105242	1.63	1.56	1.5	1.54	1.42
CRO_T105243	24.87	21.89	19.4	32.89	28.59
CRO_T105244	31.84	21.4	22.63	38.28	39.54
CRO_T105245	23.27	15.83	14.08	28.6	20.66
CRO_T105246	31	16.44	28.1	34.31	32.46
CRO_T105247	5.58	2.05	4.02	1.23	4.85
CRO_T105248	0.43	0.09	0.29	0.24	0.43
CRO_T105249	0.16	0.32	0	0.18	0
CRO_T105250	0.19	0	0	0.69	0.7
CRO_T105251	0	0	0.2	0	0.16
CRO_T105252	0	0	0	0.94	0
CRO_T105253	6.44	0.6	0.58	2.65	2.4
CRO_T105256	0.09	0.18	0.32	0.1	0.11
CRO_T105257	0.22	0.12	0	0	0
CRO_T105258	0.14	0	0.17	1.38	0
CRO_T105259	0.13	0.13	0.15	0.19	0.06
CRO_T105260	0	0.24	0.3	0	0
CRO_T105262	11.48	11.19	8.73	10.64	9.8
CRO_T105264	15.4	13.64	9.69	17.74	5.06
CRO_T105266	1.64	0.33	1.38	0	0
CRO_T105267	0	0	0	0	0
CRO_T105268	0.58	1	1.41	1.91	1.18
CRO_T105269	0	0	0	0	0
CRO_T105270	0	0.04	0.17	0.05	0.16
CRO_T105271	0.11	0.28	0.1	0.27	0.04
CRO_T105272	1	2.43	0.95	2.38	1
CRO_T105275	839.46	69.32	90.93	202.56	400.07
CRO_T105278	0.33	0.15	0	0	0
CRO_T105279	0.2	0.19	0	0.23	0.7
CRO_T105280	22.72	25.33	20.07	30.96	28.69
CRO_T105281	4.85	5.86	5.84	11.99	9.33
CRO_T105282	0.37	0.19	0.22	0.2	0.23
CRO_T105284	43.54	60.63	52.05	230.62	189.02
CRO_T105285	46.34	25.62	22.8	60.38	41.27
CRO_T105288	0.16	0.54	0.34	0.19	1.08
CRO_T105289	0	0	0.32	0	0
CRO_T105291	0.14	0	0	0	0
CRO_T105292	0.54	1.21	0.83	1.87	1.01
CRO_T105293	0	0	0	0	0
CRO_T105294	26.85	17.62	19.49	20.6	18.37
CRO_T105295	4.92	8.87	5.75	8.88	4.02
CRO_T105297	11.61	10.1	6.25	3.19	7.88
CRO_T105298	0	0	0.31	0.36	0.15
CRO_T105299	0.58	0	1.17	0.68	0.87
CRO_T105300	0.19	0.18	0.22	0.6	0.22
CRO_T105301	5.77	7.36	6.04	6.19	7.21
CRO_T105302	0.22	0.11	0	0	0.13
CRO_T105304	0	0	0.31	0.29	0
CRO_T105305	0.44	0	0	0.4	0.44
CRO_T105306	34.58	58.3	38.83	88.08	46.93
CRO_T105309	10.57	0.38	0.09	15.85	3.07
CRO_T105311	0.33	0.3	0.39	0.44	0.68
CRO_T105312	0.87	1.14	1.67	0.67	0.79
CRO_T105313	0.25	1.04	0.28	0.56	0
CRO_T105315	0.21	0.54	1.1	0	1.1
CRO_T105316	0	0.06	0.08	0	0
CRO_T105317	0.25	0.27	0	1.89	1.43
CRO_T105318	19.97	16.2	13.35	14.3	13.66
CRO_T105319	0.16	0.45	0.33	0.2	0.35
CRO_T105320	0.56	1.32	0.73	6.8	3.1
CRO_T105321	0.43	0	0.43	0.45	0
CRO_T105322	0.4	0	0	0	0
CRO_T105323	0	0.12	0	0	0
CRO_T105325	0.49	0	0	0	0.26
CRO_T105327	58.04	415.62	292.74	18.67	61.75
CRO_T105328	3.48	2.25	3.04	4.94	2.04
CRO_T105329	0.48	1.06	0.6	0.76	0.56
CRO_T105331	0.46	2.71	2.56	3.17	0.84
CRO_T105332	0.8	0.67	1.22	4.2	3.19
CRO_T105334	2.23	2.02	1.99	2.56	5.16
CRO_T105335	57.35	30.83	22.15	56.77	45.85
CRO_T105337	2.53	1.95	1.74	1.39	1.93
CRO_T105338	0.94	2.13	2.27	4.54	2.01
CRO_T105340	33.24	22.55	16.47	24.99	24.95
CRO_T105341	0.16	0.18	0.04	0.04	0.04
CRO_T105344	3.5	5.79	7.7	0.22	3.43
CRO_T105346	0.62	0.14	0.77	0.14	0.2
CRO_T105347	3.08	0.38	0.17	0.31	0
CRO_T105348	0	0	0.27	0	0
CRO_T105350	0	0.32	0.69	0.18	0.98
CRO_T105353	0.49	0	0	0	0.66
CRO_T105354	0.1	0	0.53	0	0.11
CRO_T105356	15.89	44.33	36.87	40.31	25.51
CRO_T105359	0.23	0.24	0.28	0.08	0.1
CRO_T105360	0.21	0.09	0.1	0.03	0.06
CRO_T105361	0.3	0.81	0	0.64	0.18
CRO_T105365	7.53	0.93	1.09	3.12	13.77
CRO_T105366	1.01	0.76	0.24	0.61	1.44
CRO_T105369	0	1.61	0.43	0	0.19
CRO_T105370	0.67	0.37	0.44	2.25	1.05
CRO_T105371	0.44	1.01	0.52	0.17	0.75
CRO_T105372	1.26	0.38	0	0	0.35
CRO_T105374	0.15	0.17	0	0.09	0
CRO_T105376	0.26	0.7	0.81	1.61	0.56
CRO_T105377	1.7	0.54	0.2	1.58	1.13
CRO_T105380	0	0	0.5	0	0
CRO_T105381	0	0	0	0	0
CRO_T105382	1.77	1.72	1.23	2.65	1.23
CRO_T105383	0.26	0	0	0	0.16
CRO_T105386	34.5	26.01	22.41	25.5	39.31
CRO_T105389	0.25	0	0	0	0.58
CRO_T105390	3.29	6.95	4.44	0	2.23
CRO_T105391	0.07	0	0.08	0.07	0.37
CRO_T105392	0.1	0.1	0.13	0.28	0.17
CRO_T105393	0.54	0.38	0.85	0.45	0.86
CRO_T105394	0.72	0.34	0.14	0.36	0.48
CRO_T105395	0.76	0.71	0.67	1	0.79
CRO_T105396	0.2	0.37	0.73	1.66	0.38
CRO_T105397	0.26	0.16	0.42	0.04	0.12
CRO_T105398	2.21	9.11	3.54	63.74	23.45
CRO_T105400	60.46	30.48	14.55	235.07	24.56
CRO_T105401	69.32	60.74	52.59	21.56	34.24
CRO_T105402	0.33	0.44	0.29	0.36	0.83
CRO_T105404	0.31	0	0	0.34	0
CRO_T105406	0	0	1.1	0.51	0
CRO_T105407	0.57	0.2	0.19	0.89	0.63
CRO_T105408	0.1	0.05	0.12	0.23	0.06
CRO_T105409	0.65	0.14	0.44	1.65	1.92
CRO_T105410	74.56	35.68	29.73	83.19	54
CRO_T105411	1.3	1.49	2.97	4.41	2.4
CRO_T105413	0	0.09	0	0	0.22
CRO_T105414	0	0	0	0	0
CRO_T105415	0	0	0	0	0
CRO_T105416	13.82	7.34	10.64	22.61	19.01
CRO_T105417	19.85	47.99	32.03	18.43	30.1
CRO_T105418	12.79	12.47	10.32	7.21	12.57
CRO_T105419	43.79	26.46	24.66	43.02	38.04
CRO_T105420	606.27	195.55	324.53	347.08	320.13
CRO_T105422	0.6	0.22	2.33	8.24	2.93
CRO_T105423	13.79	12.59	11.02	13.75	15.1
CRO_T105424	3.05	5.91	4.91	2.48	2.42
CRO_T105425	0	0	0	0	0.19
CRO_T105426	12.57	7.15	4.4	25.29	21.11
CRO_T105427	0.94	1.55	1.11	2.36	2.23
CRO_T105428	0.54	0	0.11	0.2	0.78
CRO_T105431	1.07	0	0	0	0
CRO_T105434	20.41	13.44	17.27	10.21	25.02
CRO_T105435	1.04	0.68	0.83	1.04	0.81
CRO_T105436	2.9	2.19	2.59	0.34	1.91
CRO_T105438	0	0.3	0.32	0	0
CRO_T105439	12.55	7.82	7.9	13.66	12.6
CRO_T105440	2.17	0.52	1.59	1.05	0.44
CRO_T105441	0.59	0.34	0.32	0.26	0.23
CRO_T105443	0.47	0.16	0.4	0.31	0.31
CRO_T105444	0.12	0.49	0.63	0.64	0.17
CRO_T105445	0.16	0.16	0.13	0.61	0.06
CRO_T105446	188.4	107.6	90.79	184.01	154.8
CRO_T105447	87.42	83.54	73.14	86.24	96.31
CRO_T105448	2.01	2.13	1.35	1.8	1.12
CRO_T105449	65.9	44.52	44.86	48.41	46.78
CRO_T105450	2.84	10.01	5.02	7.82	9.17
CRO_T105452	0.59	1.89	0.28	0.61	0.99
CRO_T105453	0	0	0	0	0.23
CRO_T105455	0	0	0	0	0
CRO_T105456	1.92	0	0.49	16.14	2.5
CRO_T105457	0.34	0	0.46	0.38	0.2
CRO_T105460	9.56	19.14	14.81	20.6	17.24
CRO_T105462	0.1	0.05	0.07	0.25	0.11
CRO_T105463	0	0	0.1	0	0
CRO_T105465	2.79	0.94	1.17	0	1.08
CRO_T105466	1.25	1.4	0.83	0.83	0.59
CRO_T105467	30.83	15.05	20.7	24.12	17.65
CRO_T105468	43.51	28.94	22.13	29.18	23.16
CRO_T105469	7.83	2.48	3.76	4.52	6.11
CRO_T105471	0.11	0.44	0.27	0.25	0.13
CRO_T105472	2.76	2.26	1.64	5.11	1.03
CRO_T105473	0.85	0	0	0	0.46
CRO_T105474	2.55	3.82	2.48	5.95	3.5
CRO_T105475	0.27	0.06	0.32	0.51	0
CRO_T105476	84	125	93.8	50.68	65.31
CRO_T105477	22.24	43.92	30.48	55.9	49.11
CRO_T105478	40.8	47.42	60.85	26.01	32.76
CRO_T105479	1.76	1.7	2.62	4.64	3.88
CRO_T105480	0	0.06	0	0.15	0.08
CRO_T105481	12.81	8.42	6.26	17.61	12.53
CRO_T105482	15.12	6.6	6.7	1.63	4.5
CRO_T105483	27.89	12.75	11.86	4.27	9.21
CRO_T105484	44.41	28.88	45.69	0.47	12.95
CRO_T105485	1.73	0.77	0.93	0.13	0.28
CRO_T105486	0.93	1.3	1.04	4.52	1.86
CRO_T105487	1.67	1.28	1.62	2.38	1.66
CRO_T105488	2.01	0.33	0.44	0	0.22
CRO_T105489	95.43	13.33	20.53	2.9	16.14
CRO_T105490	1.95	0.56	0.65	0	0.41
CRO_T105491	1.85	0	0.66	0.55	0.33
CRO_T105492	4.72	3.93	5.12	4.57	8.94
CRO_T105494	27.78	9.45	7.21	14.77	15.32
CRO_T105495	7.76	4.23	6.51	1.93	3.35
CRO_T105496	16.25	7.06	7.06	2.15	3.27
CRO_T105497	45.29	26.14	44.86	0.44	11.8
