Gene	Flowers	IL	ML	Stem	Root
CRO_T100155	1.51	1.54	0.81	2.06	1.1
CRO_T100156	0.82	0.12	1.09	0.85	0.61
CRO_T100158	41.73	28.34	29.24	42.98	29.49
CRO_T100159	55.73	47.39	29.59	60.46	42.05
CRO_T100160	5.78	2.79	3.99	6.3	5.9
CRO_T100161	1.89	0.52	0.91	0.86	2.11
CRO_T100162	0.25	0.06	0.15	0.41	0.14
CRO_T100164	0.29	0.27	0.28	0	0
CRO_T100165	0.42	0.57	0.35	0.64	0.48
CRO_T100166	4.51	3.53	1.73	12.1	1.95
CRO_T100167	172.3	67.21	138.06	176.38	216.7
CRO_T100168	0	0.07	0	0	0.08
CRO_T100169	0.08	0	0	0.37	0.1
CRO_T100170	0	0.34	0	0	0
CRO_T100172	344.17	315.54	327.31	642.4	513.8
CRO_T100173	9.75	1.32	1.06	8.34	3
CRO_T100174	0	1.19	2.5	1.38	2.49
CRO_T100175	0.15	0	0.17	0.37	0
CRO_T100176	26.76	27.13	21.93	36.35	31.93
CRO_T100177	2.35	2.32	2.1	3.25	2.4
CRO_T100179	17.01	16.01	19.72	7.28	22.3
CRO_T100180	0.24	0	0.28	0.24	0.28
CRO_T100181	0.12	0	0	0	0
CRO_T100183	7.33	1.9	2.76	0	1.07
CRO_T100184	26.44	19.78	26.53	102.96	102.05
CRO_T100185	1.26	0.28	0	1.19	0.26
CRO_T100186	40.5	52.23	40.59	63.9	53.26
CRO_T100187	1.46	4.38	2.24	2.24	3.39
CRO_T100188	0.13	0.09	0.05	0.24	0.1
CRO_T100189	0.3	0.17	0.22	0.3	0.22
CRO_T100191	0.49	0	0.35	0.26	0
CRO_T100192	0	0	0.26	0.25	0.66
CRO_T100193	0.68	0.46	0.45	0.8	1.11
CRO_T100194	7.55	8.85	5.71	12.6	5.74
CRO_T100195	0	0.07	0.18	0.08	0
CRO_T100196	0.46	2.06	1.74	1.61	0.72
CRO_T100200	1.32	0.2	0	0.25	0.31
CRO_T100202	0.26	0.13	0.3	0.07	0
CRO_T100203	0.2	0.48	0.35	0.45	0.13
CRO_T100206	0.13	0	0	0.14	0.17
CRO_T100207	37.29	47.38	24.23	13.6	57.36
CRO_T100208	0.73	0.28	0.16	0.63	0.17
CRO_T100209	0.73	0.74	0.85	1.72	0.92
CRO_T100210	0	0.47	0.29	0.35	0.43
CRO_T100211	1.98	1.97	1.61	2.83	1.42
CRO_T100213	2.04	1.61	0.77	0.75	2.33
CRO_T100214	0	0	0.37	0.17	0.44
CRO_T100216	0.83	0.33	0.5	0.19	0.72
CRO_T100217	0.17	0.28	0.21	0.39	0.09
CRO_T100218	3.35	3.53	1.33	2.96	3.37
CRO_T100219	0.11	0.04	0.1	0	0
CRO_T100220	17.66	30.9	25.88	24.74	21.32
CRO_T100221	12.78	9.63	15.86	10.75	13.68
CRO_T100222	7.6	17.59	15.82	9.38	17.25
CRO_T100224	1.08	2.44	2.12	2.02	1.98
CRO_T100225	0	0	0	0	0
CRO_T100227	0.22	0.23	0.24	0.77	0
CRO_T100228	0.47	0.51	1.98	0.55	3.16
CRO_T100229	0.34	0	0	0	0.8
CRO_T100230	0	0.27	0	0.28	0.79
CRO_T100232	0.87	0.35	0.27	0.43	0.6
CRO_T100233	45.39	97.26	50.46	90.68	96.09
CRO_T100235	250.23	127.11	120.07	100.12	163.63
CRO_T100236	0	0	0	0	0
CRO_T100237	1.36	1.44	0.91	1.52	0.82
CRO_T100238	0.64	1.16	0.79	0.55	0.82
CRO_T100240	0.58	0	0	0	0.36
CRO_T100241	0.14	0.13	0	0.16	0
CRO_T100242	0.97	6.11	10.42	1.9	2.35
CRO_T100244	0.85	1.25	0.42	4.44	0
CRO_T100245	0.15	0.68	0.09	0.72	0.1
CRO_T100246	0.49	1.12	1.08	0	2.26
CRO_T100249	0.37	0	0	1.29	0
CRO_T100251	58.48	54.1	39.96	82.61	33.46
CRO_T100252	5.96	13.34	2.47	5.2	6.09
CRO_T100253	0	0.1	0	0.25	0
CRO_T100254	0	0	0.28	0.54	0
CRO_T100256	1.19	1.69	0.75	4.73	0.48
CRO_T100257	0.19	0.39	0.74	0	0
CRO_T100258	0	0	0	0	0.35
CRO_T100259	0.4	0.1	0.22	0.47	0.24
CRO_T100260	0	0	0.39	0	0.19
CRO_T100261	0.25	0	0.31	0.54	0.29
CRO_T100262	0.63	0.15	0	0	1.24
CRO_T100263	0.5	0.27	1.44	1972.74	1.35
CRO_T100265	0.04	0.09	0.17	0	0.06
CRO_T100266	0.14	0	0	0.08	0
CRO_T100267	0	0.27	0	0.66	0
CRO_T100269	0.52	36.24	0.5	0.22	60.26
CRO_T100270	1.94	3.39	0	0.44	1.13
CRO_T100271	0.15	0.28	0.79	0.69	0.67
CRO_T100274	15.56	20.29	13.12	32.86	15.11
CRO_T100275	18.07	15.99	17.99	17.98	24.57
CRO_T100276	0.23	64.24	0	0.05	110.57
CRO_T100277	5.61	7.58	6.94	1.39	5.85
CRO_T100278	368.35	134.94	148.62	165.89	256.73
CRO_T100281	0.12	0.06	0	0.07	0.21
CRO_T100284	17.49	27.28	32.73	17.51	18.67
CRO_T100286	1.68	4.94	5.65	2.94	2.81
